S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
7324,Ophthalmology,Lens,Anterior cortical cataract is caused by,Perforating injury to eye,Radiation,Steroid,Senile,,1,Radiational and steroid induced cataract are most commonly posterior  Traumatic cataracts are most commonly posterior cortical.
7325,Ophthalmology,Lens,Traumatic dislocation of lens is diagnosed by:,Direct ophthalmoscopy,Indirect ophthalmoscopy,Distant direct ophthalmoscopy,Slit lamp examination,,4,Slit lamp examination is the choice of method to diagnose a dislocated lens.
7326,Ophthalmology,Lens,Constantly changing refractory error is seen in:,Traumatic cataract,Diabetic cataract,Morgagninn cataract,Intumescent cataract,,4,"Causes of frequent changes of pres byopic glasses are: Early cataract (i.e., intumescent cataract), late stage of primary open angle glaucoma and diabetes (It is not diabetic cataract.. but diabetes)."
7327,Ophthalmology,Lens,. What is the most important complication of anterior chamber lenses?,Glaucoma,Hyphema,Subluxation,Retinal detachment,,1,"AC lenses can complicate as glaucoma, uveitis and corneal decompensation."
7328,Ophthalmology,Lens,The biochemistry of cataract formation is:,Hydration intumescence,Denaturation of lens proteins,Slow sclerosis,All of the above,,4,Hydration leads to cortical cataract whereas sclerosis leads to nuclear cataract.
7329,Ophthalmology,Lens,Which is not associated with zonular cataract?,Diabetes,IUGR,Rickets,Dental abnormalities,,1,Zonular cataracts are associated with vitamin D deficiency.
7330,Ophthalmology,Lens,Uniocular diplopia is seen in whichstage of cataract?,Incipient,Intumescent,Mature,Hypermature,,2,Most common cause of uniocular diplopia is subluxation of lens. Other causes are intumescent cataract and polycoria.
7331,Ophthalmology,Lens,Modern criteria for cataract operation is:,Maturation of cataract,Loss of vision,Complications,All of the above,,2,Decreased visual acuity is the major criteria considered to operate cataract.
7332,Ophthalmology,Ocular Injuries,Vossius ring is seen in:,Chalcosis,Siderosis,Lens concussion,Pseudomonas infection,,3,Vossius ring is a feature of concussion injury located in the anterior capsule of the lens.
7333,Ophthalmology, Lens : Cataract Surgery,Most common complication of extracapsular cataract surgery is:,Retinal detachment,Opacification of posterior capsule,Vitreous haemorrhage,None,,2,After cataract is the most common long term complication of cataract surgery.
7334,Ophthalmology,Lens,Zonular cataract is:,Bilateral,Stationary,Autosomal dominant,Associated with hypocalcemia,None of the above,1,Most common type of congenital cata c.d ract causing diminution of vision is Zonular cataract.
7335,Ophthalmology,Lens,The most common type of cataractin adults,Nuclear cataract,Cortical cataract,Morgagnian cataract,Hypermature nuclear sclerotic cataract,,2,Nuclear cataracts are more common than cortical cataract.
7336,Ophthalmology,Lens,Cataract is associated with,Pseudomuscular hypertrophy,Myotonic dystrophy,SLE,Rheumatoid arthritis,,2,Myotonic dystrophy and Atopic dermatitis are causes of presenile cataract.
7337,Ophthalmology,Lens,Which of the following is not correct about the cataract in cases of galactosemia?,It is most often central,It is zonular or lamellar,Involve the embryonal and foetalnuclei,Is polar,,4,"If Galactosemia occurs due to GPUT (Galactose phospho uridyl-transferase), it causes Oil Droplet cataract whereas if it occurs due to Galactokinase. deficiency, it causes lamellar cataract."
7338,Ophthalmology,Lens,Equatorial diameter of the lens is:,7 mm,9 mm,8 mm,10 mm,,2,Diametre of the lens is 9-10 mm less than 9 mm is called Microphakia.
7339,Ophthalmology,Anatomy of eye,Which continues to grow in alifetime?,Cornea,Lens,Iris,Retina,,2,Lens fibres grow throughout life.
7340,Ophthalmology,Lens,"All of the following lead to theformation of complicated cataract,except",Pigmentary retinal dystrophy,Progressive hypermetropia,Progressive myopia,Iridocyclitis,,2,One of the causes of complicated cataract is retinal pathologies. Retinal degenerations and other fundal changes is a feature of pathological myopia but not of hypermetropia.
7341,Ophthalmology,Lens,Maximum refractive index in eye isof:,Cornen,Anterior capsule of lens,Posterior capsule of lens,Centroid of lens,,4,Refractive index is maximum at the centre of the lens where the nucleus is hard compared to the cortex
7342,Ophthalmology,Lens,Dislocation of the lens is seen in:,Retinoblastoma,Medulloblastoma,Neuroblastoma,None of these,,1,Endophytic retinoblastoma (which grows towards the vitreous) may lead to dislocation of the lens.
7343,Ophthalmology,Lens,Which is the most important complication of anterior chamber IOLS?,Glaucoma,Hyphema,Subluxation,Retinal detachment,,1,Other complications are corneal decompensation and uveitis.
7344,Ophthalmology,Lens,"A 55 years old patient complains of decreased distant vision. However, now he does not require his near glasses for near work. The most likely cause is:",Posterior subcapsular cataract,Zonular cataract,Anterior subcapsular cataract,Anterior subcapsular cataract,,3,"Nuclear sclerosis causes increased refractive index leading to lenticular myopia. This is called ""second sight. of old age""."
7345,Ophthalmology,Lens,Complicated cataract is seen in:,Blunt trauma,Diabetes mellitus,Neovascular glaucoma,Myopic chorioretinitis,,4,Pathological myopia may complicate as PSC and early onset of nuclear sclerosis. These patients are also predisposed to develop POAG.
7346,Ophthalmology,Lens,Ectopia lentis is not seen in:,Homocystinuria,Down's syndrome,Pseudoexfoliation.,Marfan's syndrome,,2,"In pseudoexfoliation syndrome, the suspensory ligaments are weak and hence there are chances of subluxation."
7347,Ophthalmology,Lens,. Christmas Tree cataract is seen in:,Myotonic dystrophy,Irradiation cataract,Diabetes,Traumatic cataract,,1,Christmas tree cataract is a presenile cataract in patients of myotonic dystrophy
7348,Ophthalmology,Lens,"shows limbal scar, chamber, iridodonesis, dark pupillary reflex, visual acuity 6/6 with 11D lens. Diagnose:",Aphakia,Pseudophakia,Hypermetropia,Posterior dislocation of lens,,1,"An aphakic eye has a deep anterior chamber and there is iridodonesis, i.e., trembling of the iris due to loss of support by the lens. Also since his vision is corrected by the high convex lens, diagnosis is aphakia."
7349,Ophthalmology,Lens,A patient presents with diplopia in one eye. On examination with oblique illumination-golden crescent and on axial illumination black/dark crescent is seen. Likely diagnosis would be:,Ectopia lentis,Lenticonus,Colabora,Microspherophakia,,1,The above features are typical of ectopia lentis. Other features are: 1. Iridodonesis.2. Fluctuating anterior chamber depth.3. Phacodonesis.4. Herniation of vitreous in the anterior chamber leading to pupillary block glaucoma.5. Monocular diplopia.6. Uveitis if the lens is displaced posteriorly.
7350,Ophthalmology,Lens,"A child presents bilateral white pupillary reflex, on slit lamp examination there is zone of opacity around fetal nucleus with some spoke of wheel like arrangement towards centre. Probable diagnosis would be:",Cataracta purvulenta,Lamellar cataract,Posterior pole cataract,Coronary cataract,,2,"The desc tion of the opacities is in favor of lamellar cataract and these spoke of wheel like arrangement is a typical description of Riders, these are the characteristic feature of lamellar cataract."
7351,Ophthalmology,Lens,"Following 2 days of successful phaco emulsification and IOL placement, a diabetic patient presents with redness, pain and grey white pupillary reflex.  Patient also shows hypopyon, reti lental flare and posterior synech Likely diagnosis is:",Post operative endophthalmitis,Post operative glaucoma,Post operative keratitis,Post operative cyclitis,,1,"A diabetic patient with the following signs and symptoms, just after two days of surgery-most favourable diagnosis is endophthalmitis. The most strong points in favor is the grey white reflex. Though the incidence of infection in phaco is less, but as the patient is diabetic and hence always a possibility."
7352,Ophthalmology,Lens,Congenital cataract occurs due to abnormalities in protein formation in which of the following genes?,PAX6,SIX5,CryG,PITX3,,3,"Mutation in distinct genes which encode the main cytoplasmic proteins of human lens has been associated with cataract. 1. Genes encoding crystalline: CRYA, CRYB, CRYG.2. Lens specific connexins: Cx43, Cx46, Cx50. 3. MIP major intrinsic protein or Aquaporin."
7353,Ophthalmology,Lens,"In a case of senile cataract, which of the following occurs?","Soluble protein increases, insoluble protein decreases","Soluble protein decreases, insoluble protein increases","Soluble protein increases, insoluble protein increases",Soluble protein equal to insoluble protein,,2,"Insoluble proteins are albumincids and souble proteins are crystallines, Cataract occurs due to decrease in soluble proteins and increase in insoluble proteins."
7354,Ophthalmology,Lens,Ascorbate and a-tocopherol are maintained in a reduced state in the lens by:,Glucose,Glycoprotein,Glutathione,Fatty acid.,,3,Glutathione plays a central role in protecting the lens from oxidative damage
7355,Ophthalmology,Lens,Chronic systemic steroid use causes:,Open angle glaucoma,Conjunctival and lid papillomatis,Uveitis,Cataract,,4,Systemic steroids most commonly cause cataract which is posterior subcapsular cataract whereas topical steroids most commonly leads to open angle glaucoma.
7356,Ophthalmology,Lens,What is to be done of congenital cataract involving visual axis?,Wait and watch,Operated when the baby reaches an appropriate age,Mydriatics are given.,Immediately operate,,4,Congenital cataract should be operated immediately to prevent amblyopia. This is because foveal reflex formation completes within 5-6 months of age.
7357,Ophthalmology,Lens,Causes of ectopia lentis are all except,Homocystinuria,Marfan's syndrome,Cogan Reese syndrome,Sulphite oxidase deficiency.,,3,Cogan Reese syndrome is an irido corneoendothelial syndrome causing secondary glaucoma.
7358,Ophthalmology,Lens,Lens contains which antigen?,Sequestered antigens,Cross antigens,Heterophile antigens,Isoantigens,,1,"It is sequestered in the lens capsule and whenever there is leakage of the protein outside the capsule, it causes immune reaction"
7359,Ophthalmology,Lens,Which type of lenticonus is more common in males?,Posterior,Anterior,Both are equally common,Inferior,,2,Anterior lenticonus.
7360,Ophthalmology,Lens,Marfan's syndrome associated with all except:,Retinal detachment,Vitreous hemorrhage,Ectopia lentis,Roth spots,,4,Roths spot is flame shaped haemorrhage with a white pale centre which is soft exudate
7361,Ophthalmology,Lens,Thinnest part of lens is:,Anterior pole,Posterior pole,Posterior capsule,Apex,,2,Thinnest part is capsule at the posterior pole. It is 4 microns.
7362,Ophthalmology,Community Ophthalmology,"In a district hospital in India, an ophthalmologist is expected to perform which of the following surgeries most commonly?",Phacoemulsification,Dacryocystectomy,Bilamellar tarsal rotation,Trabeculectomy,,1,"If the question would have SICS as one of the options, then it would have been the answer as this is the most common surgery performed in a district hospital and hence an ophthalmologist should be able to perform the same. Here the best option is A."
7363,Ophthalmology,Lens,Congenital cataract occurs due to abnormalities in protein formation in which of the following genes?,PAX6,SIX5,CRYGS3,PITX3,,3,Gamma-S-crystallin gene (CRYGS) mutation causes dominant progressive cortical cataract in humans. Other genes that are responsible for congenital cataract are Cs: Connexins
7364,Ophthalmology,Lens,. High molecular weight proteins in cataractous lens seen only in humans:,HM 1 and 2,HM 2 and 4,HM 3 and 4,HM 2 and 3,,3,"High molecular weight proteins are seen in  the lens HM: HM2 HMS HM4 HM1, HM2 are aluble type. HMS, HM4 able type spe inataractous les HM4, occurs exclusively in muclear"
7365,Ophthalmology,Lens,The frequency of pulse in laser assisted cataract surgery is:,15-Oct,10-Oct,20-Oct,10-Â_2,,4,"Femtosecond laser is a focussed infrared laser, with a wavelength of 1063 nm that uses ultrafast paises with duration of 100 fs (100 int 10 to power of -15 secids) it is a solid state Nd Glass laser which operates on the principle of photo ionisation"
7366,Ophthalmology,Lens,"A 55-year-old man complaints of glare in eye while driving his car in the night, his best corrected vision 6/12. What is the diagnosis? most probable",Marfan syndrome.,Post capsular opacification lens,Corneal degeneration,Diabeteic Retionopathy,,2,Posterior capsular opacification or After cataract is the most common long-term complication of cataract surgery. The above history of glare at night with dimunition of vision is most suggestive of PCO compared to other options.
7367,Ophthalmology,Lens,Dislocation is not seen in: (PGI),Marfan's syndrome,Myotonic dystrophy,Sulphite oxidase deficiency,Homocystinuria,Diabetes mellitus,1,Myotonic dystrophy and diabetes mellitus cause cataract but not ectopia lentis. A. ARMD Common causes of lens dislocation/ ectopia lentis include: â€¢ Marfan syndrome. . Sulphite oxidase deficiency. â€¢ Weil-Marchesani syndrome.Homocystinuria â€¢Stickler syndrome. Ehlers Danlos syndrome.Hyperlysinemia.
7368,Ophthalmology,Lens,The diagnosis is,Snowflake cataract,Sunflower cataract,Radial spokes,Posterior subcapsular cataract,,1,It is a feature of diabetes and more common in type 1 diabetes.
7369,Ophthalmology,Lens,The diagnosis is,Blunt trauma,The diagnosis is,Chalcosis,,,1,"It is a rossette shaped cataract, char acteristic of blunt trauma. It involves posterior cortex."
7370,Ophthalmology,Lens,The diagnosis is,Nuclear pearly cataract,Christmas tree cataract,Glaucomaflecken,Anterior subespaular cataract,,2,It is Christmas tree cataract. It is a feature of myotonic dystrophy.
7371,Ophthalmology,Lens,The diagnosis is:,Vossius ring,Oil globule reflex,Oil droplet reflex,Oil droplet cataract,,4,It is oil droplet cataract and is a feature of galactosemia.
7372,Ophthalmology,Lens,The diagnosis is,Chalcosis,Trauma,Rubella,Posterior polar cataract,,1,This is sunflower cataract and is a feature of chalcosis.
7373,Ophthalmology,Ocular Injuries,Most common cause of the image given below in,Trauma,Marfan's Syndrome,Homocystinuria,Ehlers Danlos,,1,"It is subluxation of lens, most commonly caused by trauma."
7374,Ophthalmology,Lens,The procedure given below is done by,Photodisruptive lasers,Photocoagulative lasers,Photoablative lasers,Excimer lasers,,1,It is a femtolaser cataract surgery which is a photodisruptive laser with a wavelength of 1052 nm.
7375,Ophthalmology,Lens,Choice of treatment for the condition. given below,Excimer,Femtolaser,NAYAG,Diode,,3,The above is a slide of after cataract and its choice of treatment is Nd YAG laser posterior capsulotomy.
7376,Ophthalmology,Lens,The most common complication of the image given below:,Phacotoxic glaucoma,Phacolytic glaucoma,Phacoanaphylactic glauma,Phacomorphic glaucoma,,2,The above is a slide of morgagnian cataract and hence the most common complication is phacolytic glaucoma.
7377,Ophthalmology,Lens,The incision length for procedure given below is,2.75-3.2 mm,50-53 mm,18-24 mn,3.0-3.5 mm,,1,The above slide is of phacoemulsification with the incision length of 2.75-3.2 mm.
7378,Ophthalmology,Ocular pharmacology,Which of the following antiglaucoma medications can cause drowsiness?,Latanoprost,Timolol,Brimonidine,Dorzalamide,,3,Brimonidine causes drowsiness and is also a neuroprotective drug.
7379,Ophthalmology,Ocular pharmacology,Latanoprost used topically in glaucoma primarily acts by,Decreasing aqueous humour formation,Increasing uveoscleral outflow,Releasing pupillary block,Increasing trabecular outflow,,2,Prostaglandin analogues increase the uveoscleral outflow whereas pilocar pine decreases it.
7380,Ophthalmology,Ocular pharmacology,Which of following druga is used topically for treatment open glaucoma?,The facility outflow squeas,Diurnal variation,The levels intraocular pressure different,None of the,,3,"Acetazolamide is a systemic CA inhibitor, not topical"
7381,Ophthalmology,Glaucoma,Tonography helps you determine,The facility outflow squeas,Diurnal variation,The levels intraocular pressure different,None of the,,1,"Tonography measures the ""facility of aqueous outflow"". It is done by electronic schiotz."
7382,Ophthalmology,Glaucoma,Kusumlata presents mild dilated vertically oval pupil. Most likely  diagnosis is:,neuritis,angle,Acute anterior uveitis,Severe keratoconjunctivitis,,2,Red eye with vertically oval dilated pupil-diagnosis is angle closure glaucoma.
7383,Ophthalmology,Glaucoma,You referred patient rule out open glaucoma. Which the following findings will help the diagnosis?,Cupping of the disc,Depth of anterior,Visual acuity refractive,Angle the anterior chamber,,1,"Increased C:D ratio, i.e., cupping is"
7384,Ophthalmology,Ocular pharmacology,In case of hypertensive intra ocular pressure is,Pilocarpine,Latanoprost,Dipivefrine,Physostigmine,,4,Hypertensive uveitis means that uveitis which leads to increase in the IOP. Pilocarpine and Prostaglandin analogues are contraindicated in uveitis. Dipivefrine being an alpha agonist also dilates the pupil and helps in treatment of uveitis.
7385,Ophthalmology,Ocular pharmacology,A patient having glaucoma develops blepharoconjunctivitis after insti lling some antiglaucoma drug. Which of the following drug can be responsible for it?,Timolol,Latanoprost,Dipivefrine,Pilocarpine,,3,Alpha agonists are known to caus blepharoconjunctivitis.
7386,Ophthalmology,Glaucoma,Treatment of choice in acute congestive glaucoma:,Pilocarpine,Laser iridotomy,Timolol,Trabeculoplasty,,1,In acute congestive stage we cannot do laser treatment; hence the choice of treatment is pilocarpine.
7387,Ophthalmology,Glaucoma,Secondary glaucoma is seen in all. except,Intraocular lens implantation,Epidemic dropsy,CRVO,Interstitial keratitis,,4,Glaucoma is more common in AC IOL implantation. In CRVO we get neovascular glaucoma called 100-day glaucoma. In epidemic dropsy we get hypersecretory glaucoma
7388,Ophthalmology,Ocular pharmacology,Most common complication of topical steroid is:,Glaucoma,Ptosis.,Cataract,Iritis,,1,Most common complication of topical steroids is glaucoma.
7389,Ophthalmology,Glaucoma,Iridocorneal endothelial syndrome is associated with,Progressive atrophy of iris stroma,Bilateral symmetrical of iris and cornea,Deposition of collagen in descements membrane,Deposition of glycosaminoglycans in,,1,"ICE syndrome is a group of disorder where the endothelium cells become proliferative. It is one of the causes of secondary glaucoma. The disease has three forms-Progressive iris atrophy, Cogan-Reese syndrome and Chandler's syndrome."
7390,Ophthalmology,Glaucoma,Painless sudden visual loss is seen  in all except,CRAO,Retinal detachment,Vitreous haemorrhage,Angle closure glaucoma,,4,Angle closure glaucoma is a painful condition not painless.
7391,Ophthalmology,Glaucoma,"The conversion of CO, and Hâ‚‚O into carbonic acid during the formation of aqueous humour is catalysed by which one of the following enzymes?",Carboxylase,Carbamylase,Carbonic anhydrase,Carbonic deoxygenase,,3,Carbonic anhydrase enzyme is responsible for formation of the aqueous humour
7392,Ophthalmology,Ocular pharmacology,Which of the following drugs is contraindicated in a patient with history of sulpha allergy presenting with an acute attack of angle closure  glaucoma?,Glycerol,Acetazolamide,Mannitol,Latanoprost,,2,Acetazolamide is a sulphonamide and is contraindicated in patients with sulpha allergy.
7393,Ophthalmology,Glaucoma,"A 55 years old female comes to the eye casualty with history of severe eye pain, redness and diminution of vision. On examination the visual acuity is 6/60, there is circumcorneal congestion, corneal oedema and a shallow anterior chamber. Which of the following is the best drug of choice?",Atropine ointment,I.V. mannitol,Ciprofloxacin eye drops,Betamethasone eye drops,,2,The history suggests that the patient is suffering from angle closure glaucoma
7394,Ophthalmology,Glaucoma,"In which of the following condition,aniridia and hemihypertrophy aremost likely present?",Neuroblastoma,Wilms' tumour,Non-Hodgkin's lymphoma,Germ cell tumour,,2,Wilms' tumour or Nephroblastoma is associated with Aniridia.
7395,Ophthalmology,Glaucoma,"All of the following conditions are contraindicated or likely to worsen in a case of primary open angle glaucoma when treated with timolol maleate 0.5% eye drops, except:",Hypertension,Hypercholesterolemia,Depression,Bronchial asthma,,1,All are complications of beta-blockers except hypertension. Hypertension is a complication of alpha agonists.
7396,Ophthalmology,Glaucoma,"A male patient with a history of hypermature cataract presents with a 2-day history of ciliary congestion, photophobia, blurring of vision and Rew of Ophthalmology on examination has a deep anterior chamber in the right eye. The left eye is normal. The diagnosis is",Phacomorphic glaucoma,Phacolytic glaucoma,Phacotoxic glaucoma,Phacoanaphylactic uveitin,,2,Hypermature cataract complicates to phacolytic glaucoma.
7397,Ophthalmology,Glaucoma,"A 30-day-old neonate was presented with a history of photophobia and excessive lacrimation. On exami nation, both the lacrimal duet systems are normal, but there was a large cornea and corneal haziness, The diagnosis is:",Megalocornea,Keratoconus,Congenital glaucoma,Hunter's syndrome,,3,"A neonate presenting with watering and photophobia with hazy cornea, the most probable diagnosis is congenital glaucoma."
7398,Ophthalmology,Glaucoma,"All the following anatomical changes will predispose to primary angle closure glaucoma, except:",Small cornea,Flat cornea,Anterior chamber shallow,Short axial length of eyeball,,2,Flat cornea is not a risk factor of angle closure glaucoma.
7399,Ophthalmology,Glaucoma,A patient complains of evening halos and occasional headache for some months. On examination anterior chamber of both the eyes are shallow and the intraocular pressure is normal. This condition represents what stage of glaucoma?,Constant instability,Prodrome,Absolute,Acute,,1,Patient is asymptomatic in prodromal stage of angle closure glaucoma.
7400,Ophthalmology,Ocular pharmacology,"In a patient predisposed to glaucoma, the drug contraindicated is:",Pilocarpine,Atropine,Echothiophate,Timolol,,2,Dilatation of pupil can close the angle.
7401,Ophthalmology,Glaucoma,A lady with chronic simple glaucoma with bronchial asthma took anti glaucoma drug which exaggerated her asthma. The likely drug is:,Timolol,Brimonidine,Pilocarpine,Latanoprost,,1,Beta blockers aggravate asthma
7402,Ophthalmology,Ocular pharmacology,"All are side effects of pilocarpine, except",Shallow anterior chamber,Folliculosis,Posterior synechiae,Punctal stenosis,,4,"Among all punctal stenosis is the least common complication of pilocarpine. Punctal stenosis occurs most com monly due to physostigmine, i.e., Eserine"
7403,Ophthalmology,Ocular pharmacology,"Epinephrine is used in all, except:",Aphakic glaucoma,Open angle glaucoma,Secondary glaucoma,Neovascular glaucoma,,1,An important side effect of Epine phrine is cystoid macular edema; hence it should be avoided in aphakics.
7404,Ophthalmology,Glaucoma,Earliest field defect in primary open angle glaucoma is:,Seidel's scotoma,Arcuate scotoma,Nasal spur,Scotoma in Bjerrum field,,4,The first damage in glaucoma occurs in Arcuate fibres. The area corres ponding to these fibres is called Bjerrums area; hence the first field defect is central and paracentral scotoma in the Bjerrums area.
7405,Ophthalmology,Glaucoma,Which examination is of least value in open angle glaucoma?,Tonometry,Perimetry,Indirect ophthalmoscopy,Direct ophthalmoscopy,,3,"Magnification of indirect ophthal moscope is only 5 times, hence the details of the disc is not visible.nicely"
7406,Ophthalmology,Ocular pharmacology,Pilocarpine is not used in young adults as it causes:,Retinal detachment,Myopia,Iris cysts,Shallow anterior chamber,,2,Pilocarpine causes miosis which leads to accommodation spasm hence the myopic shift.
7407,Ophthalmology,Glaucoma,True about acute angle closure glaucoma:,Pupil vertically oval,Increased TOP C. AC deep,AC deep,AC shallow,Painful eye,1,"Angle closure is mostly associated d,e with shallow AC."
7408,Ophthalmology,Glaucoma,True about buphthalmos,Large cornea,Haab's stria,Shallow AC,Glaucoma,Medical treatment helps,1,Buphthalmos is enlargement of the d eyeball and hence is associated with enlarged cornea. Treatment of buph thalmos is Goniotomy.
7409,Ophthalmology,Glaucoma,Buphthalmos is associated with:,Epiphora,Shallow anterior chamber,Megalocornea,Surgery is used for treatment,KF ring is pathognomic,4,"In buphthalmos, there is lacrimation (increased production of the tear) whereas Epiphora occurs in the cases where lacrimal drainage system is blocked. Large cornea in buphthal mos is a differential diagnosis of Megalocornea."
7410,Ophthalmology,Ocular pharmacology,Which of the following causes least increase in IOP?,Fluoromethalone,Triamcinolone,Dexamethasone,Hydrocortisone,,1,Fluoromethalones affect the IOP least
7411,Ophthalmology,Glaucoma,"In angle closure glaucoma, treatment given to the fellow eye is",Pilocarpine eye drops,Atropine,LASER iridotomy,Trabeculoplasty,Physostigmine eye drops,3,Laser iridotomy should always be done prophylactically in the other eye also
7412,Ophthalmology,Glaucoma,"Regarding aqueous humor, which of these are correct?",It is secreted at rate of 2.3 ml/min,Secreted by ciliary processes,Provides nutrition,15mm He,,2,Rate of formation of aqueous humour is 2.3 l/min. Normal pressure is 10-21 mm Hg.
7413,Ophthalmology,Glaucoma,Haab's striae are seen in:,Angle closure glaucoma,Infantile glaucoma,Stargardt's disease,Disciform keratitis,,2,Break in the descement's membrane due to overstretching of the cornea in patients of buphthalmos is called Haab's striae.
7414,Ophthalmology,Glaucoma,Malignant glaucoma is seen in,Malignancy,After surgery for cataract or glaucoma,Trauma,Thrombosis,,2,"Malignant glaucoma, also called Ciliary-block glaucoma occurs after any intraocular surgery. In this condition aqueous starts collecting in the vitreous cavity."
7415,Ophthalmology,Glaucoma,"A 30 years old woman with sudden right-sided painful red eye associated with nausea, vomiting and headache. The diagnosis is:",Acute congestive glaucoma,Endophthalmitis,Eales disease,Trachoma,,1,"A middle-aged female with history of painful red eye, associated with nausea and vomiting-most probable diagnosis is angle closure glaucom"
7416,Ophthalmology,Glaucoma,Which should not be used in raised IOP associated with uveitis?,Timolol,Pilocarpine,Atropine:,Acetazolamide,,2,Pilocarpine aggravates inflammation and is not given in patients suffering from uveitis.
7417,Ophthalmology,Glaucoma,Coloured halos is seen in all except:,Open angle glaucoma,Closed angle glaucoma,Cataract,Any of the above,,1,Open angle glaucoma is an insidious condition and hence acute rise of pressure is not seen therefore no corneal edema (which is a cause of coloured halos in angle closure glaucoma).
7418,Ophthalmology,Glaucoma,"In buphthalmos, seen are all except:",Subluxated lens,Large cornen,Small cornea,Big eyeball,,3,"In buphthalmos, stretching of the cornea leads to large cornea."
7419,Ophthalmology,Glaucoma,"In buphthalmos, lens is: flat",Anteroposteriorly,Small,Large,None of the above,,1,"Enlargement of the eyeball leads to stretching of the lens, hence it becomes flat. In the later stage, stretching can break the zonules leading to subluxation of the lens."
7420,Ophthalmology,Glaucoma,Treatment of malignant glaucoma is,Topical atropine,Topical pilocarpine,IV mannitol,Vitreous aspiration,,1,"Malignant glaucoma is treated by a d mydriatic, i.e., Atropine, hence, it is also known as INVERSE glaucoma."
7421,Ophthalmology,Glaucoma,Treatment of primary open angle  glaucoma,Timolol maleate,Atropine,Acetazolamide,Prostaglandin analogue,,1,Atropine is not an antiglaucoma drug d and has no affect on formation or drainage of the aqueous humour.
7422,Ophthalmology,Glaucoma,The canal of Schlemm possesses the following anatomic characteristics,Contains red cells,Contains aqueous,Lined by endothelium,Contains partitions resembling he dural venous sinuses,,2,It is an endothelium lined oval channel d present circumferentially in the sclera sulcus. Endothelium of the inner wall are irregular and contains giant vacuoles whereas in the outer wall the endothelial cells are smooth and contain the openings of the collector channels.
7423,Ophthalmology,Glaucoma,"In a patient of bronchial asthma with open angle glaucoma, drug of choice is:",Pilocarpine drops,Timolol drops,Ipratropium bromide drops,Betaxolol drops,,4,"Betaxolol is a selective a-blocker, and can be used in asthmatic patients."
7424,Ophthalmology,Glaucoma,Normal intraocular tension is:,0-10 mm Hg,10-20 mm Hg,20-30 mm Hâ‚‚O,100-120 cm Hâ‚‚O,,2,"Normal IOP is 10-21 mm Hg. b Scleral rigidity can affect the IOP readings if measured by indentation,"
7425,Ophthalmology,Glaucoma,Applanation tonometry is more. useful than indentation tonometry:,In cases where corneal ulcer is present,t eliminates the factor of scleral rigidity,It accurately measures tension in,None of the above,,2,"schiotz tonometre, whereas it has no affect in applanation readings. d Pthisis bulbi is shrinkage of eyeball"
7426,Ophthalmology,Glaucoma,Increased intraocular tension is seen in all except:,Epidemic dropay,Branch vein occlusion,Malignant melanoma,Pthisis bulbi,,2,and will lead to decreased IOP.
7427,Ophthalmology,Glaucoma,Drug useful in open angle glaucoma with uncorrected myopia is:,2% Pilocarpine,"0,5% Timolol",10% Phenylephrine,None of the above,,2,Pilocarpine causes myopic shift due to increased accommodation.
7428,Ophthalmology,Glaucoma,Pathognomic of open angle glaucoma is:,Pulsation of retinal arterioles:,Arcuate scotoma,Enlargement of blind spot,Spiral field defect,,2,OAG presents as arcuate scotoma. Enlargement of blind spot is a feature of papilloedema.
7429,Ophthalmology,Glaucoma,Coloured halos in acute congestive glaucoma is due to,Raised IOP,Corneal edema,Raised ICT,Mydriasis,,2,Coloured halos are due to corneal edema which is an epithelial edema occurring due to ACUTE rise of IOP.
7430,Ophthalmology,Ocular pharmacology,Not given in glaucoma,Betablocker,Cyclopentolate,Ecothiophate,Urea,,2,Cyclopentolate is not an anti glaucoma drug. It is a mydriatic with cycloplegic.
7431,Ophthalmology,Glaucoma,Glaucoma causes:,Secondary optic atrophy,Cavernous optic atrophy,Pressure optic atrophy,No optic atrophy,,2,"In cavernous optic atrophy, along with the damage of the nerve fibres, the glial tissue also degenerates (due to lack of blood supply) leading to formation of large caverns or lacunae."
7432,Ophthalmology,Glaucoma,Campimetry measures:,Field of vision,Acuity of vision,Colour vision,Includes all,,1,Central field charting is known as Campimetry.
7433,Ophthalmology,Glaucoma,All are changes in chronic glaucoma except:,Cupping of dise,Cavernous optic atrophy,Scotomas of various types,Aphakic glaucoma,,4,Synechiae are adhesions and are feature of uveitis.
7434,Ophthalmology,Glaucoma,"Aqueous as compared to plasma has all more, except:",Higher glutathione,Higher pH,Higher ascorbate,Higher lactate,,2,b pH of aqueous humour: 7.2. It is acidic compared to plasma
7435,Ophthalmology,Glaucoma,Following are important production and release of aqueous except:,Pigmented epithelium.,Ultrafiltration and diffusion,Adenylcyclase,Carbonic anhydrase,,1,Aqueous is formed from the non pigmented epithelium of the ciliary processes
7436,Ophthalmology,Glaucoma,Acute congestive glaucoma all are present except:,Ciliary congestion of,Shallow anterior chamber,Edematous cornea,Miosis,,4,Pupil is vertically oval middilated in acute angle closure glaucoma.
