S.No,System,Question,1,2,3,4,,Ans,Explanation
2436,Renal System,The renal clearance of:,Creatinine indicates precise measurement of glomerular filtration rate,Inulin is lower than that of urea,Chloride increases after an injection of aldosterone,PAH continue to rise as the plasma concentration of PAH rises,,4,
2437,Renal System,Transport maximum for PAH is about:,127 mg/min,110 mg/min,80 mg/min,50 mg/min,,3,
2438,Renal System,PAH clearance is used clinically to estimate tubular secretory capacity because:,TmPAH is nearly constant,Plasma PAH concentration is greater than that in the glomerular filtrate,PAH is almost cleared from the plasma in a single pass through the kidney,PAH is secreted passively into the PCT,,1,
2439,Renal System,Two Substances that can probably be used to determine filtration fraction are:,Inulin and mannitol,Urea and diodrast,PAH and phenol red,Inulin and PAH,,4,
2440,Renal System,Substances clinically used to measure renal plasma flow (RPF) is:,Para- aminohippuric acid (PAH),Diodrast,Cr-labelled EDTA,Radioactive labelled iodine,,1,
2441,Renal System,True speaking PAH clearance actually measures:,Renal plasma flow (RPF),Effective renal plasma flow (ERPF),Renal blood flow,GFR,,2,
2442,Renal System,"At high plasma PAH  levels, the RPF estimated is likely to be:",False high,False low,False high or low (depending on GFR ),Normal,,2,
2443,Renal System,Effective ranal plasma  flow is lower than actual renal plasma flow by:,5%,10%,15%,20%,,2,
2444,Renal System,A Substances commonly used to measure renal blood flow is:,Glucose,Cobalt labelled red cells,Inulin,Para-aminohippuric acid (PAH),,4,
2445,Renal System,Amount of water necessary to excrete the osmotic load in urine that is isotonic with plasma is called:,Free water is clearance,Osmotic clearance,Negative water clearance,Positive water clearance,,2,
2446,Renal System,Least clearance value is for among these:,PAH,Inulin,Urea,Creatinine,,3,
2447,Renal System,As urine flow increases during osmotic diuresis:,The osmolality of urine falls below that of plasma,The osmolality of urine increase above that of plasma,The osmolality of urine approaches that of plasma,The action of ADH on the ranal tubules is inhibited,,3,
2448,Renal System,The plasma clearance value of glucose in a diabetes mellitus patient will be:,Zero,Equal to that of inulin clearance,Greater than that of PAH clearance,Greater than zero,,1,
2449,Renal System,Kidney is capable of altering the urine osmolarity from‰Û_.to‰Û_.times the osmolar concentration of plasma:,1/8 to 2/3,1/6 to 4-5,1/4 to 6-7,1/2 to 8-9,,2,
2450,Renal System,Urinary concentrating ability of kidney is increased by:,ECFV contraction,Increased in RBF,Reduction in medullary hyperosmolality,Increase in GFR,,1,
2451,Renal System,"In overhydration, kidneys can produce urine wth omolarity as low as‰Û_.mOsm/L:",50,100,150,200,,1,
2452,Renal System,"During dehydration, kidney can produce urine woth omolarity upto‰Û_...mOsm/L:",900-1200,1200-1500,1500-1800,1800-2100,,2,
2453,Renal System,Concentrating or diluting ability of urine depends upon functioning of all except:,Loop of Henle,P.C.T.,D.C.T.,Collecting duct,,2,
2454,Renal System,Counter current system comprises of all except:,Vasa recta,Peritubular capillary plexus,Medullary interstitium,Loop of Henle,,2,
2455,Renal System,The fundamental process involved in excretion of a concentrated or diluted urine include all except:,Variable permeability of nephron to water,Passive diffusion of urea into the medullary interstitium,Active reabsorption of NaCI by thin ascending linb of Henle,Active reabsorption of Na+ by thick ascending linb of Henle,,3,
2456,Renal System,Counter current system is mainly feature of:,Cortical nephron,Juxtamedullary nephron,Peritubular capillary plexus,Vasa recta,,2,
2457,Renal System,Gradient of increasing osmolality along the medullary pyramids is because of:,Counter current multipliers,Counter current exchangers,Counter current  system,Loop of Henle,,3,
2458,Renal System,Osmolar concentration of PCT fluid is:,300 mOsm/L,Less than osmolar concentration of plsama,More than osmolar concentration of plsama,Isosmotic,,1,
2459,Renal System,Water permeability is maximum in which portion of the nephron:,Descending limb of Henle,Thin ascending limb of Henle,Thick ascending limb of Henle,DCT,,1,
2460,Renal System,Descending limb of loop of Henle is:,Relatively impermeable to water,Highly permeable to solute,Concentrating segment of the nephron,Permeable to urea,,3,
2461,Renal System,Osmolarity of fluid in descending segment of loop of Henle is:,300 mOsm/L,Same as that of plasma,Same as that of the adjacent medullary interstitium,Variable,,3,
2462,Renal System,The counter current multiplier system  that maintain medullary interstitial osmolality  is largely dependent upon NaCl to move out of:,Thin desceding limb of Henle,Thin and thick ascending limb of Henle (ALH),Distal convoluted tubule,Collecting tubule,,2,
2463,Renal System,Diluting segment of the nephron is:,PCT,Descending segment of loop of Henle,Thick ascending segment loop of Henle,Thin and thick ascending segment of loop of Henle,,4,
2464,Renal System,"Regarding thin ascending loop of Henle, false is:",Impermeable to water,Permeable to Na+,Permeable to urea,Impermeable to CI-,,4,
2465,Renal System,The part of nephron most impermeable to water is:,PCT,DCT,Ascending loop of Henle,CT,,3,
2466,Renal System,"Water is not freely permeable but sodium and chloride are, in which portion of nephron:",Thin ascending limb of Henle,Descending limb of Henle,DCT,Collecting tubules,,1,
2467,Renal System,Which of the following ion is not handled at loop:,Na+,K+,CI-,Urea,,2,
2468,Renal System,As the fluid passes down the distal convoluted tubule:,Sodium  concentration remains constant,Urea concentration of tubular fluid falls,Urea-free water reabsorption occurs,Water reabsorb along with urea,,3,
2469,Renal System,Loop of Henle handles the following ions except:,Na+,K+,CI-,Urea,,4,
2470,Renal System,Which of the following statement is incorrect?,Countercurrent flow in the vasa recta minimizes solute loss from the medulla of the kidney,There is a net movement of water out of the descending loop of Henle,The thick ascending loop of henle is tighly permeable to water,Blood flow through the vasa recta is very low,,3,
2471,Renal System,Renal medullary hyperosmolality is contributed by all except:,Increased interstitial Na+,Increased interstitial CI-,Increased interstitial urea,Increased interstitial protein,,4,
2472,Renal System,Normally a horizontal osmotic gradient of‰Û_..osml/L exist between the ascending segment of loop of Henle and medullary interstitium:,100,200,300,400,,2,
2473,Renal System,DCT is impermeable to all except:,Urea,Na+,CI-,K+,,4,
2474,Renal System,The status of fluid in DCT is always,Hypotonic,iso-osmotic,Isotonic,Hypertonic,,1,
2475,Renal System,Principle  solute in tubular fliud entering the inner medullary cortical duct is:,NaCl,Urea,KCI,Creatinine,,2,
2476,Renal System,ADH increases collecting tubules permeability to:,Water,Urea,Both (a) and (b),NaCI,,3,
2477,Renal System,Role of ADH in urine formation is all of following except:,Passive urea movement out of collecting tubules into interstitium,Removal of additional water from DCT and collecting tubules,"Excretion of low volume , hypertonic urine",Urea along with water moves out actively,,4,
2478,Renal System,The prime driving force for counter current multiplier system is:,Medullary hyperosmolarity,Reabsorption of Na+ in thick ascending limb,Action of ADH via aquaporin channels,Urea recycling,,2,
2479,Renal System,Osmolarity of fluid at the tip in loop of Henle is‰Û_...mOsm/L:,300,600,900,1200,,4,
2480,Renal System,Osmolarity of medullary interstitium is:,300 mOsm/L,600 mOsm/L,1200 mOsm/L,Variable,,4,
2481,Renal System,"Not a true statement about counter current system, it operates:",To establish an osmotic concentra-tion gradient in the interstitium,To concentrate the urine,To passovely extract water through collecting ducts,To actively extract urea out of the tubules,,4,
2482,Renal System,"In the nephron all is true, except:",Fluid in the  tip of loop of Henle is hypertonic with respect to glomerular filtrate,Glomerular  filtrate is hypertonic with respect to the fluid in the distal convoluted tubule,Antidiuretic hormone causes the fluid in the collecitng ducts to be hypertonic with respect to that in the proximal convoluted tubule,The fluid at the end of proximal convoluted tubule is hypertonic with respect to glomerular filtrate,,2,
2483,Renal System,The hyperosmolarity of the renal medulla is due to increased content of:,K+,Na+ and urea,Glucose,Na+,,2,
2484,Renal System,False statement about vasa recta:,Operate as counter current exchangers,Functions to maintain hyperosmolality of the medullary interstitium,Here blood flow is fast,Traps the solutes in medullary interstitium,,3,
2485,Renal System,The high osmolality of medullary interstitium is possible because of all except:,Counter current multipliers system,Counter current exchangers,High urea absorption from collecting tubules into interstitium,High water reabsorption actively by DCT,,4,
2486,Renal System,Increase in medullary blood flow results in:,Increased medullary osmolality,Increase water reabsorption,Production of large volume of dilute urine,Production of concentrated urine,,3,
2487,Renal System,True about counter current exchange process in the kidney:,A passive process,Could maintain osmotic gradient across the pyramids alone,Depends upon diffusion of water out of vasa recta,Depends upon diffusion of solutes into of vasa recta,,1,
2488,Renal System,Role of urea in counter current system is all of the following except:,To exert an osmotic effect on descending limb of loop of Henle,To promote extraction of water into the interstitium,To raise intraluminal concentration of NaCl,To decrease urine osmolality,,4,
2489,Renal System,Substance involved in counter current mechanism for maintaining medullary gradient:,NaCl,Urea,"NaCi, urea","NaCi, urea, water",,2,
2490,Renal System,"At high urine flow rate, what percentage of filtered urea is excreted?",20-30%,40-50%,50-70%,Above 70%,,3,
2491,Renal System,Counter current mechanism is not seen in:,Kidney,Limbs,Small intestine,Liver,,4,
2492,Renal System,"In addition to kidney, counter current multiplier system is present in:",Crypts of gastric submucosa,Bone,Muscles,Skin,,1,
2493,Renal System,Which of the following statement is false?,Glomerular filtrate in Bowman's capsule is isotonic,Fluid in the tip of loop of Henle is hypertonic,Fluid in the collecting tubules is hypertonic,Fluid in the PCT is always  hypertonic.,,4,
2494,Renal System,Excretion of dilute or concentrated urine is mainly dependent upon:,ADH,Renin,Sodium reabsorption from PCT,H+ secretion in DCT,,1,
2495,Renal System,Hypertonic urine is excreted due to absorption of water in:,Collecting  ducts,DCT,Ascending part of loop of Henley,Descending part of loop of Henley,,1,
2496,Renal System,Water diuresis differs from osmotic diuresis in that:,It is produced due to presence of large quantities of unabsorbed solutes in renal tubules,Characterized by production of large volume of urine,Produced due to decreased reabsorption of water in PCT and loop of Henle,Charactreized by dituresis of dilute urine,,4,
2497,Renal System,Which one of the following is not responsible for concentration of urine in the kidney:,Aldosterone,Angiotensin II,Vasopressin,Epinephrine,,4,
2498,Renal System,A substance that acts as a proton donor is called:,An acid,A base,A neutral  substance,None of the above,,1,
2499,Renal System,True about strong acid is:,Accepts protons in solution,100% ionized in solution,Example include : carbonic acid,Related directly to bound [H+] in a solution,,2,
2500,Renal System,A base is that:,Can give away H+,Can accept H+,Reacts with acids to from salts,Acts as proton donor,,2,
2501,Renal System,What is HPO42-?,An acid,A base,Neutral,A cation,,2,
2502,Renal System,Which is not a base?,HbO2-,Hb-,Lactate,Proteinate,,3,
2503,Renal System,False about volatile acid:,Form carbonic acid from CO2,Froms CO2 From carbonic acid,H2CO3 is an example,Can be eliminated by the lungs,,1,
2504,Renal System,Not a true statement regarding fixed acids:,Also called non-volatile acids or non carbonic acids,Cannot be converted to CO2,Can be formed from H2CO3,Ketoacids is an example,,3,
2505,Renal System,Greatest source of H+ in the body is:,End product of cellular metabolism,High protein diet,Synthesized by renal tubular cells,Waste product of metabolism,,1,
2506,Renal System,Process not involved in maintaining normal H+ concentration of the body:,Elimination of CO2 via respiration,Reduction of non-carbonic acid by renal elimination of H+,Blood buffer e.g. organic phosphates,Intracellular buffers,,3,
2507,Renal System,A major source of phosphoric acid (H3PO4) is:,Cellular metabolism,High protein diet,Metabolism waste products,Sternous exercise,,2,
2508,Renal System,Normal urine reaction is acidic in nature due to:,Manufacture of H+ by renal tubular cells,Kidney clears the body of non-carbonic acids,H+ secretion by renal tubules,HCO-3 reabsorption by renal tubules,,2,
2509,Renal System,Which is not a source of production of non-volatile acid in the body?,Ingestion of acidifying salts,Starvation,High carbohydrate diet,Renal tubular generation of H+,,3,
2510,Renal System,Cations manufactured by the kidney to cover the excreted anions in urine are:,H+ and Na+,Nh4+ and H+,Na+ and H+,K+ and H+,,2,
2511,Renal System,Renal failure resuls in:,Acidosis,Alkalosis,Dehydration,Overhydration,,1,
2512,Renal System,"In patient with plasma pH of 7.10, the [HCO-3] ratio in plasma is:",20,10,2,1,,2,
2513,Renal System,The kidneys excrete a daily load of ‰Û_...of metabolically produced non-carbonic acid:,10-20 mEq,20-50 mEq,50-100 mEq,100-200 mEq,,3,
2514,Renal System,Daily secretion of H+ by the kidney in‰Û_..mEq:,4000,4400,5000,5500,,2,
2515,Renal System,The maximal H+ gradient against which transport mechanism can secrete H+ cerresponds to a urine pH of:,4.4,4.8,5.2,6,,1,
2516,Renal System,Limiting pH of urine is :,6.5,6,5.2,4.4,,4,
2517,Renal System,Kidney can cause‰Û_...fold [H+] gradient between the plasma and urine:,10,100,1000,10000,,1,
2518,Renal System,The buffer system in the kidney to excrete H+ is all except:,Bicarbonate,Dibasic phosphate,Ammonia,Urate,,4,
2519,Renal System,The bicarbonate buffer system is important in regulating extracellular fluid H+ concentration because:,The concentration of CO2 and HCO3- in the extracellular fluid is relatively  high,The pK of the bicarbonate buffer system is very close to the pH of the extracellular fluid,Two elements of the bicarbonate buffer system CO2 and HCO3- are regulated by renal and respiratory mechanisms,(b) and (c) both,,4,
2520,Renal System,Normal plasma HCO3- concentration is mEq/L:,18,24,30,36,,2,
2521,Renal System,What percentage filtrate dibasic phosphate ions (HCO42-) is available for buffering?,25%,50%,75%,100%,,1,
2522,Renal System,Amount of H+ per day buffered by dibasic phosphate inos (HPO42-):,10-30 mEq,30-50 mEq,50-70 mEq,70-90 mEq,,1,
2523,Renal System,Not a true statement regarding titratable acid:,PCT is the major nephron site of its formation,Some of it is also generated in collecting tubules by H+ -ATPase pump,Measured by determining the amount of alkali that must be added to urine to return its pH of glomerular filtrate,Each H+ that react with HCO3- contributes to its formation,,4,
2524,Renal System,Urinary ammonia is produced in:,Spleen,Liver,Kidney,Blood,,3,
2525,Renal System,Major source of ammonia production in renal tubular cells is by:,Deamination of glutamine,Deamination of glutamic acid,"Deamination of other amino acids glycine, asparagine, alanine",Comes directly from arterial blood,,1,
2526,Renal System,The enzyme required for generation of ammonium ion in the kidney is:,Glutamate dehydrogenase,Glutamate asparate transaminase,Glutaminase,Glutamate  carboxylase,,3,
2527,Renal System,Glycine and alanine contributes to about ‰Û_.% of renal ammonia:,10,20,40,60,,1,
2528,Renal System,Ammonia (NH3) in the kidney tubules is excreted in exchange for:,HCO3-,Na+,CI-,PO42-,,1,
2529,Renal System,The pK of ammonia buffer system is:,6.1,6.8,7.4,9,,4,
2530,Renal System,Body fluid pH depends primarily on the renal control of:,Reabsorption of sodium in exchange for potassium,Secretion of H+ in exchange for ammonia,Secretion of H+ in exchange for potassium,Secretion of H+ in exchange for sodium,,4,
2531,Renal System,"In severe metabolic acidosis, renal buffer system which play major role is:",Bicarbonate system,Dibasic phosphate system,Ammonia system,Haemoglobin  system,,3,
2532,Renal System,Daily normal ammonium ions (NH4+) excretion is ‰Û_.....mEq:,30,60,90,120,,1,
2533,Renal System,Total amount of H+ excreted daily by an individual on a normal diet is ‰Û_...mEq:,30-Oct,30-50,40-80,>80,,3,
2534,Renal System,Total body osmolality is determined by all except:,Total body Na+,Total body K+,Total body water,ICFV,,4,
2535,Renal System,Normal plasma osmolality is:,260 mOsm/L,270 mOsm/L,280 mOsm/L,290 mOsm/L,,4,Range 285-300 mOsm/L
2536,Renal System,Changes in ADH secretion occurs significantly when plasma osmolality is changed as little as:,0.50%,1.00%,1.50%,2.00%,,2,
2537,Renal System,Water excretion through kidneys is controlled by all of the following except:,ADH,Angiotensin II,Atrial natriuretic peptide (ANP),ECFV,,4,
2538,Renal System,Predominant osmotically active substance in ECF is:,Na+,K+,H+,CI-,,1,
2539,Renal System,ADH causes:,Increased water excretion,Increased absorption of water along with solutes from DCT,Increased solute free water reabsorption form DCT,Increased permeability of intial portion of DCT to water,,3,
2540,Renal System,Which of the following generate thirst?,Increased plasma osmolality,Increased tonicity of intracellular fluid,Increase in cell size,Increase in ECFV,,1,
2541,Renal System,Receptors that sense water deficiency in the body are:,Baroreceptors,Chemoreceptors,Osmoreceptors,Stretch receptors,,3,
2542,Renal System,Osmoreceptors are present in:,Anterior hypothalamus,Internal carotid artery,Left atrium,Ventricle,,1,
2543,Renal System,The most powerful feedback system for controlling plasma osmolality and sodium concentration is:,ADH and thirst,Salt,Angiotensin-renin system,Countercurrent system,,1,
2544,Renal System,The acute control response to increased extracellular fluid volume involves all of the following except:,Increased urine osmolarity,Decreased  sympathetic stimulation of kidneys,Decreased secretion of ADH,Increased urine output,,1,
2545,Renal System,"Which of the following changes would not occur as a result of dehydration (loss of water, but not solute)?",Increased secretion of antidiuretic hormone,Increased plasma sodium concentration,Deccreased permeability of the collecting ducts to water,Increased solute concentration in the renal medulla,,3,
2546,Renal System,Sodium alone account for ‰Û_.% of effective osmotic pressure of plasam:,15,45,75,95,,4,
2547,Renal System,Which of the following changes would not occur in a normal person as a result of salt depletion:,Increased plasma concentration of angiotensis II,Increased plasma aldosterone concentration,Decreased in sodium excretion,A large decrease plasma sodium concentration,,4,
2548,Renal System,"If there is a decrease in extracellular fluid volume, the body may respond by increasing the secretion of all except:",Nor-epinephrine (NE),Aldosterone,ADH,ANP,,4,
2549,Renal System,Which of the following plays a key role in the body response to hypovolemia?,ADH,Angiotensin II,Atrial natriuretic peptide,Aldosterone,,2,
2550,Renal System,Not a true statement for ADH:,Regulates the plasma Na+ concentration,Conserves total body water,Regulates total body Na+ content,Reposible for 10-12% of additional water reabsorption by kidney,,3,
2551,Renal System,Not an action of atrial natriuretic peptide:,Natriuresis,Diuresis,Increase GFR,Decrease glomerular capillary pressure,,4,
2552,Renal System,Which of the following does not have natriuretic actions:,Aldosterone,Atrial natriuretic  peptide (ANP),Angiotensin II,Cortisol,,1,
2553,Renal System,Atrial natriuretic peptide (APN) causes:,Increase in cardiac output,Increase in blood volume,Increase in urine output,Increase in renin secretion,,3,
2554,Renal System,The principle buffer system in the body fluid is:,Haemoglobin system,Protein system,Phosphate system,Ammonia system,,4,
2555,Renal System,Buffering agents in the body include all except:,Bicarbonates,Phosphate,Proteins,Carbohydrates,,4,
2556,Renal System,Which of the following acts as an intracellular buffer?,HCO3-,CI-,PO42-,SO42-,,3,
2557,Renal System,Non-bicarbonate buffer system in the body fliud are all except:,Haemoglobin,Protein,Phosphate,Carbohydrates,,4,
2558,Renal System,Blood capacity of buffer carbonic acid is attributed mainly to:,Haemoglobin system,Protein system,Carbonic acid-bicarbonate system,Phosphate system,,1,
2559,Renal System,Buffering action of haemoglobin is mainly due to:,Haem,Porphyrin,Imidazole group of histidine,Histidine group of imidazole,,3,
2560,Renal System,How many times haemoglobin in blood has buffering capacity as compared to plasma proteins?,Two,Four,Six,Eight,,3,
2561,Renal System,pK of bicarbonate buffer system is:,5.8,6.1,6.4,6.8,,2,
2562,Renal System,False about carbonic acid-bicarbonate system is one of the most effective buffer system in the body because:,H2CO3 level in plasma in equilibrium with dissolved CO2,Amount of dissolved CO2 is controlled by respiration,Plasma HCO3- concentration is regulated by kidney,Function as a buffer for carbonic acid,,4,
2563,Renal System,pK of phosphate  buffer system is:,6,6.4,6.8,7.2,,1,
2564,Renal System,Phosphate  buffer system is important in all except:,Kidney,Interstitial fluids,Extracellular fluids,Intracellular fluids,,3,
2565,Renal System,The function of kidney in maintenace of blood pH are all except:,Secretion of H+,Production of HCO3-,Conservation of HCO3-,Conservation of Na+,,4,
2566,Renal System,Which is not an isotonic solution?,0.9% NaCl,20% glucose,20% urea,10% mannitol,,2,
2567,Renal System,"In a dehydrated patient, body  water should be replaced by intravenous in fusion of:",Distilled water,0.9% NaCl solution,5% glucose solution,10% glucose solution,,3,
2568,Renal System,Vomiting resulting in dehydration produces:,Decrease in ICFV,Decrease in ECFV,Decrease in osmolality of extra-cellular  fluid,Decrease in osmolality of ECF,,2,
2569,Renal System,Which is not a cause of isosmotic dehydration?,Haemorrhage,Diarrhoea,Alcoholism,Burns,,3,
2570,Renal System,Hypertonic contraction  of fluid volume is caused by?,Addison's disease,Cushing's disease,Salt losing nephropathy,Diabetes insipidus,,4,
2571,Renal System,In generalised oedema:,ICFV increases,ECFV increases,osmolality of extracellular fluid decreases,Increase in osmolality of ECF,,2,
2572,Renal System,Dehydration increases the plasma concentration of all of the following hormones except:,ADH,Angiotensin II,Aldosterone,Atrial natriuretic peptide (ANP),,4,
2573,Renal System,Ingestion of large volume of water may result in all except:,Increase in ICFV and ECFV,Decrease in osmolality of ICF,Decrease in osmolality of ECF,Increase in ICFV only,,4,
2574,Renal System,Condition associated with fall in plasma osmolality is:,Ingestion of large volume of water,Alcoholism,Vomiting,Excessive sweating,,1,
2575,Renal System,Acidosis is:,Accumulation of acid in the body,Loss of base in the body,Decreased pH of blood flow 7.35,Increased [H+] of blood.,,3,
2576,Renal System,Which of the following causes respiratory acidosis?,NaHCO3  ingestion,NH4CI ingestion,Voluntary hyperventilation,Emphysema,,4,
2577,Renal System,Respiratory acidosis is characterized by:,Decreased pCO2 and decreased pH,Increased pCO2 and decreased pH,Increased pCO2 and increased pH,Decreased pCO2 and increased pH,,2,
2578,Renal System,Respiratory alkalosis occurs in:,Diabetic ketoacidosis,Pyloric stenosis,Asthma,Hyperventilation,,4,
2579,Renal System,Severe anxiety may cause:,Respiratory acidosis,Respiratory alkalosis,Metabolic acidosis,Metabolic alkalosis,,2,
2580,Renal System,What happens to plasma HCO3- in metabolic acidosis?,Increased,Decreased,Unchanged,Variable,,2,
2581,Renal System,"If arterial plasma parameters read: pH 7.34, HCO3- 25 mEq/L  and pCO2 48 mmHg, the person is suffering from:",Respiratory acidosis,Respiratory alkalosis,Metabolic acidosis,Metabolic alkalosis,,1,
2582,Renal System,Severe diarrhoea may lead to:,Metabolic acidosis,Metabolic alkalosis,Respiratory acidosis,Respiratory alkalosis,,1,
2583,Renal System,First change seen with salicylate poisoining is:,Metabolic acidosis,Respiratory acidosis,Metabolic alkalosis,Respiratory alkalosis,,1,
2584,Renal System,Prolonged vomiting in intestinal obstruction may result in:,Metabolic acidosis,Metabolic alkalosis,Respiratory acidosis,Respiratory alkalosis,,2,
2585,Renal System,Metabolic alkalosis associated with prolonged vomiting is primarily due to loss of:,Sodium,Potassium,Chloride,Hydrogen ion,,4,
2586,Renal System,In which of the following metabolic alkalosis is not seen:,Excessive renal reabsorption of HCO-3,Severe diarrhoea,Persistant vomiting,Lactate overtreatment,,2,
2587,Renal System,Metabolic alkalosis is seen in all except::,Over treatment with lactate,Severe diarrhoea,Prolonged vomiting,Antacid therapy,,2,
2588,Renal System,A patient  has a plasma HCO3- concentration of 25 mEq/L and pCO2 of 50 mmHg He has:,Compensated metabolic acidosis,Compensated respiratory alkalosis,Respiratory acidosis,Respiratory alkalosis and metabolic acidosis,,3,
2589,Renal System,Most important renal defence against respiratory alkalosis is:,Increased excretion of HCO3-,Increased excretion of H+,Decreased excretion of ammonia,Increased secretion of K+,,1,
2590,Renal System,Increase in the alveolar ventilation increase rhe blood pH because:,It makes haemoglobin a stronger acid,It increases the pO2 of the blood,It decreases the pCO2 in the alveoli,It activates neural mechanism that remove acid from the blood.,,3,
2591,Renal System,What happens to renal H+ secretion in respiratory alkalosis?,Decreased,Increased,Unchanged,Variable,,1,
2592,Renal System,In uncompensated respiratory acidosis:,Plasma pH change is always greater compared to uncompensated metaboic acidosis,There are no compensation mechanisms,involves changes in plasma [HCO-3],is associated with a change in pCO2,,4,
2593,Renal System,"In metabolic alkalosis, the compensation is by:",Decreased in ventilation,Increased renal HCO3- excretion,(a) and (b) both,Prolonged vomiting,,3,
2594,Renal System,Renal compensation for metabolic acidosis involves all of the following except:,Increased tubular secretion of hydrogen ions,Activation of the tubular ammonia buffer system,Increased filtration of bicarbonate ions,Increased excretion of hydrogen ions in the urine,,3,
2595,Renal System,Anion gap is mainly due to:,Sulphates,Phosphate,Proteins,Nitrates,,3,
2596,Renal System,Normal anion gap metabolic acidosis is seen in:,Diarrhoea,Renal failure,Lactic acidosis,Diabetic ketaacidosis,,1,
2597,Renal System,Pale lemon yellow colour of the urine is due to all except:,Urochrome,Urobilin,Uroerythrin,Urobilinogen,,2,
2598,Renal System,Which of the following is normally not excreted in urine?,Uric Acid,Chloride ion,Glucose,Creatinine,,3,
2599,Renal System,Which of the following is minimally excreted in urine?,Urea,Creatinine,Uric acid,Phosphate,,3,
2600,Renal System,Renal failure may be associated with:,Oliguria,Polyuria,Anuria,Any of the above,,4,
2601,Renal System,Not true of obligatory  urine volume:,Less than 400 ml/day,Also called oliguria,Seen in terminal of renal failure,Its specific gravity is 1001,,4,
2602,Renal System,Specific gravity (SG) with maximum diluted and concentrated urine respectively is:,1001; 1040,1010; 1020,1020; 1030,1030; 1040,,1,
2603,Renal System,False statement with reference to specific gravity of urine:,Inversely proportional to quantity of urine,Increases in kidney damage,Affected by number of osmotically active particles,In renal failure it become fixed and low despite variation in water  intake,,2,
2604,Renal System,Isothenuria is:,Low fixed specific gravity of urine (1010) despite variation in water intake,Dilute urine of specific gravity (1001),Concentrated urine of specific gravity (1040),Seen in early stages of diabetes mellitus,,1,
2605,Renal System,Normal reaction of urine is:,Slightly acidic,Average pH is 6-6.5,Becomes alkaline after meals,Neutral pH,,4,
2606,Renal System,Urine normally contains all of the following except:,1-2 pup cell/HPF,Hyaline casts,Granular casts,Non-squamous epithelial cells,,3,
2607,Renal System,Not true of urinary hyaline casts:,Presence is abnormal,They are non-squamous epithelial tubular cells,"They are clear, colourless casts of renal tubules",Seen as small cylinders with rounded ends,,1,
2608,Renal System,Presence of which of the following in urine is normal:,Granular casts,Glucose,Albumin,Protein upto 50 mg/day,,4,
2609,Renal System,Granular casts in urine:,Are regarded as normal,Are hyline casts embedded with RBCs,Made up of mucoprotein substances,Formed in the DCT,,2,
2610,Renal System,Excretion of proteins in urine upto‰Û_.... Mg/day is regarded as normal:,50-100,150-250,250-500,Zero,,1,
2611,Renal System,Useful index to assess function of glomerular filtration are all except:,Blood urea,Serum creatinine,Filtration fraction,PAH estimation,,4,
2612,Renal System,Test to assess renal tubular function include all except:,PAH clearance,Urea clearance,Intravenous pyelography (IVP),Measurement of water reabsorption,,3,
2613,Renal System,Not a true statement about urea clearance:,Measure the rate of excretion of waste products,"Obsolete test, not used clinically",Normal standard urea clearance is 54 ml/min,"When rate of urine flow is below 2ml/min, excretion of urea is miximal",,4,
2614,Renal System,"In water dilution test for tubular function, the patient can excrete at least‰Û_..% of volume ingested within 5 hours:",40,50,70,90,,3,
2615,Renal System,Withdrawal of fluids for 12-18 hours indicates kidney concentration power is normal if specific gravity of urine is:,1001 to 1007,1008 to 1010,1010 to 1020,Above  1020,,4,
2616,Renal System,Part of urinary bladder mainly responsible for its emptying during micturition:,Detrusor muscle of body,trigone,Internal sphincter,External sphincter,,1,
2617,Renal System,In infant the physiological capacity of urinary bladder is:,20-50 ml,50-100 ml,100-150 ml,150-200ml,,1,
2618,Renal System,"During first years of life, urinary bladder physiological capacity is increased by ‰Û_.times:",2,3,4,5,,3,
2619,Renal System,The difference between physiological and anatomical capacity of urinary bladder in adult is ‰Û_..ml:,200,300,400,Zero,,3,
2620,Renal System,False statement regarding urinary bladder capacity:,Physiological capacity is less than anatomical capacity,Anatomical capacity is never approached under physiological conditions,Anatomical capacity is the capacity just before bladder ruptures,It is less in females,,4,
2621,Renal System,Sympathetic nerve innervate all of the following parts of urinary bladder except:,The body,trigone,Internal sphincter,External sphincter,,4,
2622,Renal System,Emptying of urinary bladder is a function of:,Sympathetic innervation,Parasympathetic innervation,Somatic innervation,Pudendal nerve,,1,
2623,Renal System,Pudendal (pudic) nerve controls:,External sphincter of rectum,External sphincter of urinary bladder,Size in pupil,Gastroesophageal reflex,,2,
2624,Renal System,Filling of urinary bladder upto 300-400 ml fluid increases the intravesicle pressure to:,10 cm H2O,30 cm H2O,50 cm H2O,Above 100 cm H2O,,1,
2625,Renal System,"In micturition reflex, the first change to occur is:",Trigone relaxation,Detrusor contraction,Relaxation of perineal muscles,Decreased urethral pressure,,3,
2626,Renal System,The moderate filling of urinary bladder results in small increase in intravesicle pressure upto 10 cm H2O only due to all of the following except:,Instrinsic tone of urinary bladder,Operation of law of Laplace,"The tension increases as the organ fills, but so does the radius",Parasympathetic innervation,,4,
2627,Renal System,ureteric peristalsis is due to:,Sympathetic innervation,Parasympathetic innervation,Both (a) and (b),Pacemake activity of smooth muscle cells in renal pelvis,,4,
